date	rating
23-Aug-1959	1478
30-Aug-1959	1458
29-Jan-1984	1473
2-Feb-1984	1468
9-Feb-1984	1458
12-Feb-1984	1446
15-Feb-1984	1440
19-Feb-1984	1450
22-Feb-1984	1469
26-Feb-1984	1462
2-Mar-1984	1447
21-Feb-1991	1444
28-Feb-1991	1438
5-Mar-1993	1454
12-Mar-1993	1438
