date	rating
27-Jan-1985	1481
30-Jan-1985	1470
3-Feb-1985	1465
6-Feb-1985	1487
10-Feb-1985	1489
13-Feb-1985	1474
24-Feb-1985	1458
27-Feb-1985	1459
3-Mar-1985	1459
6-Mar-1985	1451
10-Mar-1985	1437
17-Mar-1985	1430
20-Mar-1985	1421
24-Mar-1985	1412
27-Mar-1985	1428
31-Mar-1985	1442
3-Apr-1985	1443
7-Apr-1985	1457
10-Apr-1985	1442
14-Apr-1985	1429
17-Apr-1985	1421
21-Apr-1985	1425
